ticker,entry_date,entry_price,stop_loss,take_profit,tech_score,signals,exit_date,exit_price,pnl_pct,status,hold_days,max_drawdown_pct,max_favorable_pct,sell_signals,sell_score
PEP,2025-11-13,145.02,139.1218,157.4718,10.7,"20MA눌림목, 50MA눌림목, BB하단반등",2025-11-24,145.5,0.281,expired,7,-0.7516,3.3168,[],0.0
VLTO,2025-11-13,98.56,94.1821,107.8021,10.7,"20MA눌림목, BB하단반등, 강세다이버전스, 스토캐스틱크로스",2025-11-24,98.14,-0.4761,expired,7,-1.5118,1.0958,[],0.0
WTW,2025-11-13,324.3,309.4179,355.7178,10.7,"20MA눌림목, 50MA눌림목, BB하단반등",2025-11-24,317.52,-2.1407,expired,7,-3.2192,1.3074,[],0.0
WFC,2025-11-14,85.05,80.5821,94.4821,11.3,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-11-25,85.1,0.0088,expired,7,-4.7031,1.164,[],0.0
ABNB,2025-11-14,122.02,114.4748,137.9488,10.7,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-11-19,114.4748,-6.2336,stop_loss,3,-6.5112,0.0,[],0.0
FTNT,2025-11-14,82.31,75.5857,96.5057,10.7,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-11-25,80.87,-1.7995,expired,7,-6.2447,0.7897,[],0.0
LNT,2025-11-17,68.1,65.9464,72.6464,11.8,"20MA눌림목, 50MA눌림목, BB하단반등, 골든크로스, 스토캐스틱크로스",2025-11-26,69.18,1.5359,expired,7,-1.4684,1.7768,[],0.0
BKR,2025-11-19,48.48,45.158,55.493,11.8,"20MA눌림목, 50MA눌림목, BB하단반등, 이평정배열, 스토캐스틱크로스",2025-12-01,50.16,3.4153,expired,7,-1.4645,5.033,[],0.0
BK,2025-11-24,108.07,103.0123,118.7473,11.8,"20MA눌림목, 50MA눌림목, BB하단반등, 거래량1.7x, 스토캐스틱크로스",2025-12-08,114.44,5.8443,trailing_stop,9,-0.6107,6.4033,[],0.0
KLAC,2025-11-24,1136.73,1033.042,1355.6269,11.8,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-12-04,1208.08,6.2268,expired,7,-2.5784,7.0668,[],0.0
LDOS,2025-11-24,186.81,176.3475,208.8975,11.8,"20MA눌림목, 50MA눌림목, BB하단반등, 거래량1.5x, 스토캐스틱크로스",2025-12-04,192.42,2.9531,expired,7,-0.2891,5.2192,[],0.0
JPM,2025-11-25,303.0,286.7984,337.2034,11.8,"20MA눌림목, 50MA눌림목, BB하단반등",2025-12-05,315.04,3.9236,expired,7,0.0,5.1122,[],0.0
PSX,2025-11-25,134.13,124.7973,153.8323,11.3,"20MA눌림목, 50MA눌림목, BB하단반등",2025-12-05,139.36,3.8492,expired,7,-0.1864,6.2626,[],0.0
SBAC,2025-11-26,194.79,185.52,214.36,11.3,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-12-03,185.52,-4.809,stop_loss,4,-4.9592,0.3132,[],0.0
DE,2025-12-01,468.11,442.8602,521.4152,11.3,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-12-10,468.9,0.1188,expired,7,-2.6062,4.4605,[],0.0
SCHW,2025-12-03,93.99,89.2698,103.9548,11.3,"20MA눌림목, 50MA눌림목, MACD상향, 스토캐스틱크로스",2025-12-12,96.65,2.7801,expired,7,-1.3193,3.628,[],0.0
SBAC,2025-12-04,190.0,182.1507,206.5707,11.8,"20MA눌림목, 50MA눌림목, BB하단반등",2025-12-15,193.13,1.5974,expired,7,-1.2579,2.1895,[],0.0
SPG,2025-12-04,183.32,176.9863,196.6913,11.8,"20MA눌림목, 50MA눌림목, BB하단반등, 이평정배열, 스토캐스틱크로스",2025-12-15,184.17,0.4137,expired,7,-2.2147,0.5673,[],0.0
ADBE,2025-12-05,346.26,326.1755,388.6606,10.73,"50MA눌림목, 돌파(20d_high_breakout), 골든크로스, 거래량2.1x",2025-12-16,347.89,0.4207,expired,7,-3.6013,4.7508,[],0.0
AVY,2025-12-05,179.33,170.8234,197.2884,10.57,"돌파(20d_high_breakout), 이평정배열, 거래량1.6x, 스토캐스틱크로스, 스퀴즈돌파",2025-12-16,183.12,2.0634,expired,7,-4.0874,2.7714,[],0.0
AFL,2025-12-05,109.28,105.7089,116.8189,10.3,"20MA눌림목, 50MA눌림목, BB하단반등",2025-12-16,109.49,0.1422,expired,7,-2.0772,2.489,[],0.0
PEP,2025-12-08,145.63,140.6848,156.0698,10.7,"20MA눌림목, 50MA눌림목, BB하단반등",2025-12-19,148.5413,1.9491,trailing_stop,9,-1.1811,4.6144,[],0.0
NRG,2025-12-09,166.75,151.4227,199.1077,11.8,"20MA눌림목, 50MA눌림목, BB하단반등, 골든크로스, MACD상향, 스토캐스틱크로스",2025-12-16,160.15,-4.008,sell_signal,5,-5.5772,3.3883,"['dead_cross', 'ma_reverse_alignment']",3.5
AIZ,2025-12-10,222.96,214.4727,240.8777,11.8,"20MA눌림목, 50MA눌림목, BB하단반등",2025-12-17,237.04,6.265,sell_signal,5,-0.1929,6.7277,"['rsi_overbought', 'stoch_overbought', 'bb_upper_reject']",4.5
ED,2025-12-12,97.53,93.9509,105.0859,11.8,"20MA눌림목, 50MA눌림목, BB하단반등",2025-12-23,98.95,1.406,expired,7,-0.4306,2.8709,[],0.0
ETR,2025-12-15,93.75,89.8977,101.8827,11.3,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-12-24,92.67,-1.202,expired,7,-3.072,0.48,[],0.0
CME,2025-12-16,272.95,262.2288,295.5837,11.3,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-12-26,276.73,1.3349,expired,7,-2.8503,1.7183,[],0.0
CEG,2025-12-16,365.625,333.8958,432.6088,11.2,"20MA눌림목, 50MA눌림목, 이평정배열, 스토캐스틱크로스",2025-12-26,360.46,-1.4627,expired,7,-8.6003,1.7436,[],0.0
MAA,2025-12-16,133.19,128.7784,142.5034,11.01,"20MA눌림목, 50MA눌림목, BB하단반등",2025-12-24,137.44,3.1409,sell_signal,6,-0.0676,3.5738,"['bearish_divergence', 'stoch_overbought']",3.5
HON,2025-12-17,199.89,193.5884,213.1934,12.08,"50MA눌림목, 돌파(20d_high_breakout), 이평정배열, 거래량1.6x, 스퀴즈돌파",2025-12-29,197.09,-1.4508,expired,7,-2.5864,0.7204,[],0.0
CBOE,2025-12-17,252.26,242.0643,273.7843,11.8,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-12-29,256.11,1.4762,expired,7,-2.7432,2.3032,[],0.0
CTRA,2025-12-23,25.98,24.6107,28.8707,11.34,"20MA눌림목, 50MA눌림목, BB하단반등",2026-01-05,25.82,-0.6659,expired,7,-3.8491,2.7714,[],0.0
AES,2025-12-24,13.96,13.2432,15.4732,11.3,"20MA눌림목, 50MA눌림목, BB하단반등",2026-01-05,14.4824,3.6922,trailing_stop,6,-0.2865,7.5931,[],0.0
EBAY,2025-12-24,84.6,80.5902,93.0652,11.2,"20MA눌림목, 50MA눌림목, BB하단반등, 이평정배열, 스토캐스틱크로스",2026-01-05,88.4026,4.4448,trailing_stop,6,-0.5792,8.0497,[],0.0
PEP,2025-12-26,143.78,138.5439,154.8339,11.2,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2026-01-07,138.5439,-3.6917,stop_loss,7,-4.7434,1.0363,[],0.0
RMD,2025-12-26,244.76,232.745,270.125,11.2,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2026-01-07,248.21,1.3595,expired,7,-1.9448,2.2022,[],0.0
HOLX,2025-12-29,74.51,73.9957,75.5957,12.58,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2026-01-12,74.86,0.4197,trailing_stop,9,-0.0671,0.7784,[],0.0
OXY,2025-12-29,40.41,38.4429,44.5629,10.74,"20MA눌림목, 50MA눌림목, BB하단반등",2026-01-02,41.2646,2.0649,trailing_stop,3,0.0,5.7659,[],0.0
WMB,2025-12-29,59.8,57.4584,64.7434,10.74,"20MA눌림목, 50MA눌림목, BB하단반등",2026-01-08,61.15,2.2075,expired,7,-2.1906,2.8595,[],0.0
MMM,2026-01-02,161.82,156.0118,174.0818,11.3,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2026-01-12,163.9138,1.2439,trailing_stop,6,-0.6303,3.9859,[],0.0
CME,2026-01-05,275.06,264.6988,296.9337,11.3,"20MA눌림목, 50MA눌림목, BB하단반등, MACD상향, 이평정배열, 스토캐스틱크로스",2026-01-06,264.6988,-3.8169,stop_loss,1,-3.8246,0.0,[],0.0
STE,2026-01-05,256.75,247.2421,276.8221,11.3,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2026-01-14,264.25,2.8711,expired,7,-1.6436,2.999,[],0.0
WRB,2026-01-05,70.71,68.3893,75.6093,11.3,"20MA눌림목, 50MA눌림목, 강세다이버전스, 이평정배열, 스토캐스틱크로스",2026-01-07,68.3893,-3.332,stop_loss,2,-3.7901,0.0141,[],0.0
IBM,2026-01-06,302.47,289.0118,330.8818,11.8,"20MA눌림목, 50MA눌림목, BB하단반등",2026-01-15,297.95,-1.5444,expired,7,-2.4697,3.4185,[],0.0
CBOE,2026-01-07,255.16,244.5287,277.6038,10.3,"20MA눌림목, 50MA눌림목, BB하단반등, 거래량2.0x, 스토캐스틱크로스",2026-01-15,270.83,6.0912,sell_signal,6,-0.5212,6.4783,"['rsi_overbought', 'stoch_overbought', 'bb_upper_reject']",4.5
CINF,2026-01-07,163.04,157.7188,174.2737,10.3,"20MA눌림목, 50MA눌림목, BB하단반등",2026-01-16,162.18,-0.5775,expired,7,-1.5027,1.9872,[],0.0
AOS,2026-01-08,70.4,67.4879,76.5479,12.05,"돌파(20d_high_breakout), 골든크로스, MACD상향, 거래량1.7x, 스토캐스틱크로스, 스퀴즈돌파",2026-01-20,70.56,0.1773,expired,7,-1.2216,3.054,[],0.0
AVY,2026-01-08,186.02,179.0852,200.6602,11.8,"20MA눌림목, BB하단반등, 돌파(20d_high_breakout), 거래량1.5x, 스토캐스틱크로스, 스퀴즈돌파",2026-01-20,182.21,-2.0982,expired,7,-2.3546,2.3385,[],0.0
ETR,2026-01-09,93.52,90.0646,100.8146,11.8,"20MA눌림목, 50MA눌림목, BB하단반등, MACD상향, 스토캐스틱크로스",2026-01-21,95.73,2.3131,expired,7,-0.7592,3.5821,[],0.0
MMM,2026-01-12,167.94,161.28,182.0,11.8,"20MA눌림목, 50MA눌림목, 돌파(10d_high_breakout), 이평정배열, 스퀴즈돌파",2026-01-20,161.28,-4.0157,stop_loss,5,-8.8543,3.0487,[],0.0
COR,2026-01-12,342.16,328.2132,371.6032,11.8,"20MA눌림목, 50MA눌림목, BB하단반등, MACD상향, 스토캐스틱크로스",2026-01-21,348.4899,1.8,trailing_stop,6,0.0,4.9071,[],0.0
GILD,2026-01-12,122.6,116.2727,135.9577,11.8,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2026-01-21,124.6445,1.6176,trailing_stop,6,-1.9413,5.5383,[],0.0
CNP,2026-01-13,38.6,37.4155,41.1005,11.8,"20MA눌림목, 50MA눌림목, BB하단반등, 거래량2.0x, 스토캐스틱크로스",2026-01-22,39.0,0.9863,trailing_stop,6,0.0,3.6269,[],0.0
FE,2026-01-14,46.15,44.8739,48.8439,12.01,"50MA눌림목, 돌파(20d_high_breakout), 이평정배열, 거래량1.5x, 스퀴즈돌파",2026-01-16,47.34,2.5285,sell_signal,2,-0.1083,2.6652,"['rsi_overbought', 'stoch_overbought', 'bb_upper_reject']",4.5
JPM,2026-01-15,309.26,294.6623,340.0773,11.78,"50MA눌림목, BB하단반등, 스토캐스틱크로스",2026-01-27,300.31,-2.944,expired,7,-4.1227,2.5706,[],0.0
EXC,2026-01-16,44.73,43.1486,48.0686,12.3,"20MA눌림목, 50MA눌림목, BB하단반등, 돌파(20d_high_breakout), 강세다이버전스, 골든크로스, 거래량2.3x, 스퀴즈돌파",2026-01-28,44.76,0.0171,expired,7,-2.9287,1.1178,[],0.0
BRK-B,2026-01-16,493.29,480.3252,520.6602,11.3,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2026-01-23,480.3252,-2.6782,stop_loss,4,-3.0104,0.0,[],0.0
VRTX,2026-01-16,441.36,415.8611,495.191,10.8,"20MA눌림목, 50MA눌림목, BB하단반등",2026-01-30,469.9,6.4164,trailing_stop,9,-2.8004,9.8876,[],0.0
ACGL,2026-01-20,91.8,87.8239,100.1939,11.3,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2026-01-29,95.72,4.2202,expired,7,-1.3617,4.4771,[],0.0
AIZ,2026-01-21,238.23,227.4284,261.0334,11.8,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2026-01-30,238.13,-0.092,expired,7,-2.867,0.9319,[],0.0
REGN,2026-01-21,749.33,699.0184,855.5434,11.8,"20MA눌림목, 50MA눌림목, BB하단반등",2026-01-30,741.45,-1.1016,expired,7,-1.831,3.5925,[],0.0
EXPE,2026-01-22,279.66,256.9897,327.5196,11.8,"20MA눌림목, 50MA눌림목, BB하단반등",2026-02-02,276.67,-1.1192,expired,7,-6.1861,0.0,[],0.0
CB,2026-01-22,300.92,288.5354,327.0654,11.3,"20MA눌림목, 50MA눌림목, BB하단반등, 거래량1.6x",2026-02-02,311.25,3.3828,expired,7,-0.7976,3.9977,[],0.0
SBAC,2026-01-23,187.16,175.7493,211.2493,11.3,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2026-02-03,179.65,-4.0626,expired,7,-5.0385,1.9075,[],0.0
ATO,2026-01-26,168.5,162.4507,181.2707,11.8,"20MA눌림목, 50MA눌림목, BB하단반등, MACD상향, 거래량2.1x, 스토캐스틱크로스",2026-02-04,171.83,1.9263,expired,7,-2.4332,3.6024,[],0.0
L,2026-01-28,102.81,99.4752,109.8502,11.3,"20MA눌림목, 50MA눌림목, BB하단반등",2026-02-05,110.89,7.3035,sell_signal,6,0.0,8.5595,"['rsi_overbought', 'stoch_overbought', 'bb_upper_reject']",4.5
ROST,2026-01-29,186.5,179.1361,202.0461,11.8,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2026-02-11,192.54,3.1886,trailing_stop,9,-0.4504,4.4611,[],0.0
AVY,2026-01-30,185.51,177.8777,201.6227,11.8,"20MA눌림목, 50MA눌림목, BB하단반등, 이평정배열",2026-02-04,188.5558,1.5918,trailing_stop,3,-0.8409,4.7275,[],0.0
KDP,2026-01-30,27.44,26.0948,30.2798,11.8,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2026-02-10,28.71,4.5783,expired,7,-0.8746,5.0656,[],0.0
CTSH,2026-02-02,82.91,78.3939,92.4439,11.8,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2026-02-03,78.3939,-5.497,stop_loss,1,-11.7115,0.0,[],0.0
EW,2026-02-02,82.65,78.4473,91.5223,11.8,"20MA눌림목, 50MA눌림목, BB하단반등",2026-02-05,78.4473,-5.1349,stop_loss,3,-6.2795,1.3551,[],0.0
J,2026-02-02,136.88,130.1621,151.0621,11.8,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2026-02-04,139.4316,1.8141,trailing_stop,2,-4.6464,5.545,[],0.0
AEE,2026-02-03,104.01,100.3104,111.8204,11.3,"20MA눌림목, 50MA눌림목, BB하단반등, 이평정배열, 스토캐스틱크로스",2026-02-12,107.7253,3.522,trailing_stop,7,-0.0577,6.2398,[],0.0
