ticker,entry_date,entry_price,stop_loss,take_profit,tech_score,signals,exit_date,exit_price,pnl_pct,status,hold_days,max_drawdown_pct,max_favorable_pct,sell_signals,sell_score
KO,2024-09-25,71.45,69.9629,74.4243,10.27,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2024-09-30,71.86,0.5238,sell_signal,3,-0.8537,1.0497,['bearish_divergence'],2.0
JNJ,2024-09-26,161.39,158.1661,167.8379,10.79,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2024-10-01,161.99,0.3218,expired,3,-0.4399,1.264,[],0.0
JPM,2024-09-27,210.5,203.6718,224.1564,10.71,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2024-10-01,207.04,-1.6937,sell_signal,2,-2.4893,0.2185,"['macd_cross_down', 'ma_reverse_alignment']",3.0
BRO,2024-09-30,103.6,100.9557,108.8886,10.71,"20MA눌림목, 50MA눌림목, BB하단반등, 골든크로스, 스토캐스틱크로스",2024-10-03,104.63,0.9442,expired,3,-0.0676,1.9981,[],0.0
DUK,2024-10-01,116.22,113.9314,120.7971,10.23,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2024-10-04,113.9314,-2.0192,stop_loss,3,-2.0737,0.7486,[],0.0
AVB,2024-10-02,223.1,217.6786,233.9429,10.5,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2024-10-07,217.6786,-2.48,stop_loss,3,-2.7656,0.0986,[],0.0
FRT,2024-10-03,111.59,108.9211,116.9279,10.65,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2024-10-08,109.65,-1.7885,expired,3,-1.9536,0.3226,[],0.0
AAPL,2024-10-04,226.8,219.8336,240.7329,10.81,"20MA눌림목, 50MA눌림목, BB하단반등, 이평정배열, 스토캐스틱크로스",2024-10-09,229.54,1.1581,expired,3,-2.4118,1.3007,[],0.0
AZO,2024-10-07,3053.45,2938.445,3283.4599,10.36,"20MA눌림목, 50MA눌림목, BB하단반등, 강세다이버전스, 스토캐스틱크로스",2024-10-10,3106.55,1.689,expired,3,-0.3727,3.4833,[],0.0
AON,2024-10-08,353.97,346.6307,368.6486,10.8,"20MA눌림목, BB하단반등, 돌파(20d_high_breakout), 골든크로스, 거래량1.5x, 스토캐스틱크로스, 스퀴즈돌파",2024-10-11,355.15,0.2834,expired,3,-0.7684,1.9719,[],0.0
KO,2024-10-09,69.57,68.1846,72.3407,10.6,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2024-10-14,70.34,1.0568,expired,3,-0.8337,1.2937,[],0.0
DOV,2024-10-10,186.62,182.5186,194.8228,10.57,"20MA눌림목, 50MA눌림목, BB하단반등, 거래량2.0x, 스토캐스틱크로스",2024-10-11,187.4544,0.3971,trailing_stop,1,-0.3001,2.4971,[],0.0
AMGN,2024-10-11,328.35,318.5561,347.9379,10.73,"20MA눌림목, 50MA눌림목, 강세다이버전스, MACD상향",2024-10-16,321.63,-2.0966,expired,3,-2.141,0.0,[],0.0
GOOGL,2024-10-14,164.96,160.2554,174.3693,10.81,"20MA눌림목, 50MA눌림목, BB하단반등, MACD상향",2024-10-17,162.93,-1.2806,sell_signal,3,-1.3337,1.6489,['macd_cross_down'],2.0
INTU,2024-10-15,617.89,602.3961,648.8779,10.8,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2024-10-17,609.23,-1.4515,sell_signal,2,-1.688,0.2023,['macd_cross_down'],2.0
FRT,2024-10-16,113.5,111.0025,118.495,10.65,"20MA눌림목, 50MA눌림목, BB하단반등, MACD상향",2024-10-21,113.22,-0.2967,expired,3,-0.793,0.9339,[],0.0
ACGL,2024-10-17,108.25,103.3761,117.9979,10.64,"20MA눌림목, 50MA눌림목, BB하단반등, 강세다이버전스, 스토캐스틱크로스",2024-10-22,107.79,-0.4749,expired,3,-1.6628,1.2564,[],0.0
INTU,2024-10-18,613.29,598.0618,643.7464,10.8,"20MA눌림목, 50MA눌림목, BB하단반등, MACD상향",2024-10-23,602.01,-1.8893,sell_signal,3,-2.2241,0.3799,"['macd_cross_down', 'ma_reverse_alignment']",3.0
GOOG,2024-10-21,165.8,161.36,174.68,10.81,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2024-10-23,164.48,-0.8461,sell_signal,2,-1.307,1.0856,"['dead_cross', 'ma_reverse_alignment']",3.5
GEN,2024-10-22,27.11,26.4693,28.3914,10.94,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2024-10-25,26.97,-0.5664,expired,3,-1.2173,1.7337,[],0.0
CF,2024-10-23,84.17,81.395,89.72,10.94,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2024-10-28,81.91,-2.735,expired,3,-2.9108,0.9505,[],0.0
DECK,2024-10-24,152.04,145.1668,165.7864,10.86,"50MA눌림목, BB하단반등, 거래량2.0x, 스토캐스틱크로스",2024-10-25,168.2742,10.6276,trailing_stop,1,0.0,13.503,[],0.0
INTU,2024-10-25,609.27,594.6707,638.4686,10.8,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2024-10-29,613.088,0.5766,trailing_stop,2,-0.2265,2.6802,[],0.0
INTU,2024-10-28,612.09,598.1593,639.9514,10.8,"20MA눌림목, 50MA눌림목, BB하단반등, MACD상향",2024-10-31,616.8806,0.7327,trailing_stop,3,-0.5784,2.8394,[],0.0
ADP,2024-10-29,287.95,283.2336,297.3829,10.86,"20MA눌림목, 50MA눌림목, BB하단반등, 거래량1.8x, 스토캐스틱크로스",2024-10-30,287.0126,-0.3755,trailing_stop,1,-0.8161,1.7086,[],0.0
GEHC,2024-10-30,87.2,84.3607,92.8786,10.79,"20MA눌림목, 50MA눌림목, BB하단반등, 거래량2.0x, 스토캐스틱크로스",2024-11-04,86.99,-0.2908,expired,3,-1.3761,1.422,[],0.0
CF,2024-10-31,82.23,79.6157,87.4586,10.94,"20MA눌림목, 50MA눌림목, BB하단반등, 거래량2.2x",2024-11-04,85.0346,3.3607,trailing_stop,2,0.0,5.5211,[],0.0
CPAY,2024-11-01,329.81,318.3982,352.6336,10.94,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2024-11-06,345.0876,4.5823,trailing_stop,3,-0.5215,6.7948,[],0.0
CTRA,2024-11-04,23.07,22.2311,24.7479,10.79,"20MA눌림목, 50MA눌림목, BB하단반등, 거래량1.7x, 스토캐스틱크로스",2024-11-06,24.3157,5.3495,trailing_stop,2,-0.13,7.6723,[],0.0
ALLE,2024-11-05,140.9,136.3057,150.0886,10.79,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2024-11-08,143.78,1.994,expired,3,-2.6828,3.0305,[],0.0
FANG,2024-11-06,183.62,176.7821,197.2957,10.79,"20MA눌림목, 50MA눌림목, 강세다이버전스, 거래량1.6x, 스토캐스틱크로스",2024-11-11,179.13,-2.4953,expired,3,-2.5161,0.0,[],0.0
DXCM,2024-11-07,68.91,65.9218,74.8864,10.73,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2024-11-11,70.1724,1.7819,trailing_stop,2,-0.2467,4.5422,[],0.0
AEP,2024-11-08,96.4,93.5789,102.0421,10.57,"20MA눌림목, BB하단반등, 강세다이버전스, 스토캐스틱크로스",2024-11-12,93.5789,-2.9764,stop_loss,2,-3.9419,0.0,[],0.0
CF,2024-11-11,85.08,81.9804,91.2793,10.81,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2024-11-14,85.74,0.7257,expired,3,-1.5867,1.8571,[],0.0
JKHY,2024-11-12,177.11,171.9457,187.4386,10.86,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2024-11-14,171.9457,-2.9659,stop_loss,2,-2.9812,0.3275,[],0.0
FANG,2024-11-13,182.24,175.1611,196.3979,10.79,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2024-11-18,181.9,-0.2366,expired,3,-3.4241,1.0151,[],0.0
AMAT,2024-11-14,186.0,178.5707,200.8586,10.62,"20MA눌림목, 50MA눌림목, BB하단반등, 이평정배열, 거래량2.0x, 스토캐스틱크로스",2024-11-15,178.5707,-4.0442,stop_loss,1,-10.0376,0.0,[],0.0
FRT,2024-11-15,113.54,110.4382,119.7436,10.65,"20MA눌림목, 50MA눌림목, BB하단반등, 이평정배열, 거래량3.6x",2024-11-20,113.15,-0.3935,sell_signal,3,-2.6687,0.2554,['macd_cross_down'],2.0
AAPL,2024-11-18,228.02,221.9204,240.2193,10.81,"20MA눌림목, 50MA눌림목, BB하단반등, MACD상향, 스토캐스틱크로스",2024-11-21,228.52,0.1693,expired,3,-1.0131,0.9385,[],0.0
ACN,2024-11-19,353.95,343.3321,375.1857,10.79,"20MA눌림목, 50MA눌림목, BB하단반등, 이평정배열, 스토캐스틱크로스",2024-11-22,357.3472,0.9098,trailing_stop,3,-0.6498,3.0202,[],0.0
AAPL,2024-11-20,229.0,223.0407,240.9186,10.81,"20MA눌림목, 50MA눌림목, BB하단반등, 골든크로스",2024-11-25,232.87,1.64,sell_signal,3,-1.4367,1.8559,"['stoch_overbought', 'bb_upper_reject']",3.0
CB,2024-11-21,285.11,277.9968,299.3364,10.65,"20MA눌림목, 50MA눌림목, BB하단반등, 이평정배열, 스토캐스틱크로스",2024-11-26,288.48,1.132,expired,3,-0.7857,1.2802,[],0.0
