ticker,entry_date,entry_price,stop_loss,take_profit,tech_score,signals,exit_date,exit_price,pnl_pct,status,hold_days,max_drawdown_pct,max_favorable_pct,sell_signals,sell_score
IEX,2025-11-12,169.57,159.5718,189.5664,11.8,"20MA눌림목, 50MA눌림목, BB하단반등",2025-11-19,161.68,-4.703,expired,5,-5.2899,1.2797,[],0.0
PEP,2025-11-13,145.02,138.4664,158.1271,10.7,"20MA눌림목, 50MA눌림목, BB하단반등",2025-11-20,146.1,0.6947,expired,5,-0.7516,3.3168,[],0.0
WFC,2025-11-14,85.05,80.0857,94.9786,11.3,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-11-21,83.11,-2.331,expired,5,-4.7031,1.164,[],0.0
LNT,2025-11-17,68.1,65.7071,72.8857,11.8,"20MA눌림목, 50MA눌림목, BB하단반등, 골든크로스, 스토캐스틱크로스",2025-11-24,68.41,0.4052,expired,5,-1.4684,1.0132,[],0.0
PFE,2025-11-18,25.45,23.6857,28.9786,11.35,"20MA눌림목, 50MA눌림목, 이평정배열, 스토캐스틱크로스",2025-11-25,25.72,1.0109,expired,5,-4.5972,2.0432,[],0.0
ALGN,2025-11-19,133.68,122.5139,156.0121,11.8,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-11-25,144.6155,8.1303,trailing_stop,4,-0.778,14.445,[],0.0
INVH,2025-11-20,27.95,26.6036,30.6429,11.2,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-11-28,28.2,0.8445,expired,5,-0.5725,1.7889,[],0.0
AEE,2025-11-21,104.53,100.5246,112.5407,11.8,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-12-01,103.0,-1.5137,expired,5,-1.5881,1.9899,[],0.0
BK,2025-11-24,108.07,102.4504,119.3093,11.8,"20MA눌림목, 50MA눌림목, BB하단반등, 거래량1.7x, 스토캐스틱크로스",2025-12-02,112.08,3.6606,expired,5,-0.6107,4.5896,[],0.0
EA,2025-11-25,201.66,199.3796,206.2207,11.8,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-12-02,203.24,0.7335,sell_signal,4,0.0,0.8628,"['rsi_overbought', 'stoch_overbought', 'bb_upper_reject']",4.5
ATO,2025-11-26,175.74,169.84,187.54,11.3,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-12-02,169.84,-3.4072,stop_loss,3,-3.471,0.7113,[],0.0
