ticker,entry_date,entry_price,stop_loss,take_profit,tech_score,signals,exit_date,exit_price,pnl_pct,status,hold_days,max_drawdown_pct,max_favorable_pct,sell_signals,sell_score
UNP,2025-11-14,223.02,219.645,235.6763,10.74,"20MA눌림목, 50MA눌림목, BB하단반등, 이평정배열, 스토캐스틱크로스",2025-11-19,221.17,-0.8795,expired,3,-1.4035,0.3004,[],0.0
PEG,2025-11-14,82.84,81.0607,89.5123,10.73,"20MA눌림목, 50MA눌림목, BB하단반등, 이평정배열",2025-11-19,81.0607,-2.1979,stop_loss,3,-2.197,0.3139,[],0.0
LNT,2025-11-17,68.1,67.1429,71.6893,10.65,"20MA눌림목, 50MA눌림목, BB하단반등, 골든크로스, 스토캐스틱크로스",2025-11-19,67.1429,-1.4555,stop_loss,2,-1.4684,1.0132,[],0.0
CMS,2025-11-17,74.46,73.1436,79.3966,10.57,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-11-19,73.1436,-1.818,stop_loss,2,-2.5248,0.8461,[],0.0
INTU,2025-11-18,649.73,633.9257,708.9961,10.8,"20MA눌림목, 50MA눌림목, BB하단반등, 강세다이버전스, 거래량1.6x",2025-11-21,665.2133,2.333,trailing_stop,3,-1.8916,5.0082,[],0.0
SCHW,2025-11-19,92.64,90.5536,100.4641,10.85,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-11-20,90.5536,-2.3022,stop_loss,1,-2.3532,1.889,[],0.0
ACN,2025-11-19,241.08,235.3064,262.7309,10.79,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-11-21,247.6208,2.6631,trailing_stop,2,-0.6388,5.3468,[],0.0
ESS,2025-11-20,255.73,250.8157,274.1586,10.59,"20MA눌림목, 50MA눌림목, BB하단반등, MACD상향, 스토캐스틱크로스",2025-11-25,261.16,2.0733,expired,3,0.0,3.0736,[],0.0
FE,2025-11-20,46.57,45.895,49.1012,10.56,"20MA눌림목, 50MA눌림목, BB하단반등, MACD상향, 이평정배열, 스토캐스틱크로스",2025-11-24,47.34,1.6034,sell_signal,2,-0.6012,1.8037,"['stoch_overbought', 'bb_upper_reject']",3.0
GEN,2025-11-21,26.54,25.8486,29.1329,10.94,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-11-26,26.24,-1.1804,expired,3,-1.5825,1.055,[],0.0
